observed_on,latitude,longitude
2015-03-19,47.434474,-123.368998
2015-03-21,48.7089513,-122.49209655
2015-03-21,46.75090834,-122.93756139
2015-03-21,37.01337598,-122.05032643
2015-02-18,37.367195,-122.2570333333
2015-03-26,38.54053,-123.0037
2015-03-26,38.542625,-123.005101
2015-03-26,38.054731,-122.865397
2015-03-27,38.713276,-120.567696
2015-03-30,48.73548867,-122.37816812
2015-03-15,37.010934,-121.93417
2015-04-04,37.9859003,-122.600245
2015-04-04,38.370065,-122.499603
2015-04-04,38.369329,-122.501577
2015-04-05,37.437718,-122.369972
2015-04-05,38.0611221667,-122.8492883333
2015-04-05,38.0715945,-122.851325
2015-04-05,38.0785445,-122.8557966667
2015-04-07,57.07261231,-135.27986698
2015-04-09,38.369365,-122.502088
2003-05-16,47.244872,-116.003647
2015-04-23,48.4630208743,-122.9949672148
2015-04-23,48.463768,-122.998267
2015-04-24,39.2749247281,-121.0503183213
2015-04-25,48.463521,-123.025315
2015-04-25,48.463204,-123.025462
2015-04-25,38.338502,-122.597449
2015-04-26,45.5003305556,-122.8462972222
2015-04-24,38.431898,-122.971989
2015-04-30,45.635635,-121.916983
2015-04-23,36.9943716667,-122.0698861667
2015-04-25,37.432878,-122.369545
2015-04-25,37.93651486,-122.63732777
2015-04-25,37.93358877,-122.63615865
2015-05-02,38.440342,-122.523676
2015-05-02,47.754905,-122.366745
2015-05-02,38.03726679,-122.81301631
2015-03-15,41.28679,-124.05979
2015-04-24,38.33835,-122.597107
2015-03-20,37.9148783333,-122.54065
2015-05-13,39.246247,-120.91218
2015-05-16,37.001294445,-122.06015
2015-05-18,48.799904,-123.148304
2015-05-19,45.504125,-122.695125
2015-05-20,40.6775856018,-123.1337509155
2015-05-23,48.434757,-123.4626
2015-05-22,47.586571,-122.7375609833
2015-05-20,37.8439525674,-122.5277709961
2012-08-13,47.90868,-124.6366
2015-05-27,41.331361,-124.012427
2015-05-23,47.67926,-122.89821
2015-05-24,38.041228,-122.855043
2013-06-18,37.48522,-122.23635
2015-05-24,37.23328,-122.32719
2014-12-18,48.671836,-122.48404
2015-05-31,46.737509,-121.565575
2015-06-06,37.8968583333,-122.7087083333
2015-06-06,47.672266,-122.305958
2015-06-01,47.313715,-122.404786
2014-11-23,36.482578,-121.170396
2015-05-23,39.1908342,-120.94223747
2011-11-19,36.02994,-121.524635
2011-05-21,38.501916,-123.005379
2015-04-18,48.0506222222,-123.7891388889
2012-08-19,45.584242,-122.812142
2012-08-19,45.584242,-122.812142
2015-06-10,38.492057,-122.937252
2015-06-10,38.49183,-122.9373666667
2015-06-03,49.17343,-123.952839
2015-06-12,44.882897,-122.660554
2015-05-27,41.209939,-124.007599
2015-03-30,43.1521,-123.8116
2015-03-30,42.8755,-123.5481
2015-03-31,43.0414,-122.786
2015-03-31,42.8037,-122.8676
2015-03-31,42.8037,-122.8676
2015-03-31,42.8259,-122.9252
2015-03-31,42.6543,-123.5634
2015-06-17,48.534244,-123.39524
2011-01-16,37.792661,-122.168823
2015-06-19,47.977425,-123.6879116667
2015-07-01,37.924052,-122.529032
2015-07-03,41.403127,-124.063428
2015-06-06,39.264358,-123.736817
2015-07-05,57.08937362,-135.44886448
2015-07-03,46.961784,-121.083971
2015-07-07,45.4927387,-122.8557028
2015-07-06,45.33797,-123.9965883333
2015-07-09,45.58102,-122.7696533333
2015-07-10,38.369579,-122.497297
2015-07-10,38.3690866667,-122.5013866667
2013-08-22,37.235931,-122.323493
2015-07-01,41.139851,-124.152267
2015-07-12,37.901057,-122.578335
2015-07-14,48.404941,-123.759956
2015-07-15,38.57431,-122.68464
2015-07-17,48.812448,-123.188161
2015-07-17,48.8091391044,-123.1870744005
2015-07-18,48.8101103,-123.18742798
2015-07-18,48.792593,-123.164965
2015-07-18,48.810114,-123.187464
2015-07-18,49.281778,-122.90296
2015-07-05,37.4695966667,-122.3487333333
2015-06-28,37.7986033333,-122.1535805
2009-07-28,50.537872,-126.623182
2015-07-15,38.564342,-122.690286
2015-07-29,47.348192,-122.00829
2015-04-27,49.045963,-123.781672
2015-08-02,47.9753883333,-122.411225
2015-08-02,47.975357,-122.41155
2015-08-02,47.978105,-122.406476
2015-08-02,47.975328,-122.411477
2015-08-15,45.910394,-122.589864
2015-08-15,45.910363,-122.589937
2007-10-27,36.267365,-121.805839
2015-08-22,38.813072,-123.594093
2015-08-29,37.31333,-122.18763
2015-09-05,57.18229714,-135.72148727
2015-09-11,37.437248,-122.355595
2015-09-12,45.634291,-123.366406
